Step	Energy
0	-1767.1574
100	-1280.5802
200	-1074.0548
300	-1001.4801
400	-924.4785
500	-710.2031
600	-467.2976
700	-665.8682
800	-601.6780
900	-508.9399
1000	-290.8942
1100	-65.3718
1200	-278.4221
1300	-482.4448
1400	-418.0570
1500	-80.1827
1600	-176.8587
1700	-68.7836
1800	-38.7732
1900	29.6774
2000	35.8026
2100	-53.4089
2200	-329.3294
2300	-67.7847
2400	-157.9791
2500	305.5463
2600	22.7694
2700	252.3086
2800	141.1777
2900	256.0955
3000	-302.3428
3100	-56.3720
3200	8.3866
3300	202.2966
3400	101.6341
3500	-120.6923
3600	120.8113
3700	22.5080
3800	-79.7310
3900	-99.3034
4000	-98.1575
4100	43.3074
4200	130.5664
4300	124.3681
4400	-46.7942
4500	93.2712
4600	-277.8281
4700	-340.3029
4800	98.0963
4900	-70.2659
5000	-212.1878
5100	24.7512
5200	-306.0225
5300	-303.6420
5400	-172.4757
5500	-228.0386
5600	-291.9708
5700	-66.1844
5800	48.0156
5900	88.0207
6000	-122.1655
6100	-460.5733
6200	-43.2384
6300	-260.4403
6400	-312.2463
6500	-306.9091
6600	143.4010
6700	280.7126
6800	-33.4230
6900	-318.1540
7000	101.5998
7100	75.4477
7200	107.9755
7300	-152.3955
7400	-18.3874
7500	-163.2665
7600	-245.3801
7700	-469.6910
7800	-551.4333
7900	103.9798
8000	-264.5272
8100	52.6766
8200	13.0415
8300	241.4070
8400	3.5117
8500	-340.2851
8600	292.1876
8700	-11.1038
8800	173.0334
8900	-118.0702
9000	538.9815
9100	-106.2006
9200	531.4705
9300	-313.7448
9400	-155.9356
9500	-397.7075
9600	277.4930
9700	153.9428
9800	280.1812
9900	474.8225
10000	55.1664
10100	-169.2020
10200	291.7552
10300	68.7753
10400	-645.4016
10500	-121.6210
10600	-46.3275
10700	-24.7807
10800	-112.8559
10900	44.7884
11000	-39.8915
11100	-206.2097
11200	-262.3530
11300	-308.4900
11400	-206.1607
11500	-197.9679
11600	-250.4607
11700	-439.8125
11800	-229.2015
11900	140.4412
12000	-139.8221
12100	-496.0231
12200	1.2448
12300	291.9233
12400	-31.5835
12500	-118.0920
12600	65.0383
12700	18.4440
12800	-56.6592
12900	-79.7944
13000	-76.2682
13100	-139.4563
13200	-63.3256
13300	-108.5314
13400	-283.3611
13500	-502.5159
13600	-35.1117
13700	100.1801
13800	5.3004
13900	304.7332
14000	-321.5479
14100	-195.1417
14200	215.0442
14300	281.3334
14400	206.9105
14500	-100.6493
14600	200.2757
14700	124.8698
14800	-125.2243
14900	-226.7114
15000	193.1769
15100	-93.1848
15200	-43.5793
15300	402.9037
15400	-310.0874
15500	-264.3827
15600	-395.3976
15700	-397.0954
15800	154.2157
15900	60.0727
16000	-113.5063
16100	36.0028
16200	-196.9989
16300	-80.9865
16400	-329.1841
16500	-78.2120
16600	-246.0622
16700	-160.3465
16800	-438.8462
16900	206.6306
17000	420.1302
17100	89.7509
17200	-104.2793
17300	71.5786
17400	-106.5483
17500	21.0094
17600	-97.7335
17700	-510.0232
17800	-384.7552
17900	-266.0458
18000	-134.5197
18100	304.1758
18200	71.6781
18300	-424.6699
18400	289.3653
18500	-126.5443
18600	-248.0929
18700	76.1543
18800	-391.5446
18900	-94.6107
19000	-56.9794
19100	-260.8202
19200	101.5146
19300	377.4317
19400	18.0731
19500	225.5933
19600	-56.3028
19700	-166.3707
19800	-324.3535
19900	-548.2872
20000	-319.9706
20100	-67.5524
20200	48.0398
20300	-201.2095
20400	-202.9728
20500	-222.2355
20600	-52.3020
20700	169.8225
20800	-80.8919
20900	93.3441
21000	15.4730
21100	-0.7294
21200	-204.6856
21300	-427.1150
21400	-163.2718
21500	192.5372
21600	-122.9971
21700	-407.8639
21800	-338.7299
21900	-145.7413
22000	217.3083
22100	-35.8779
22200	-109.4337
22300	314.5965
22400	-179.8155
22500	330.0191
22600	-4.0635
22700	173.5675
22800	435.2000
22900	-14.0895
23000	313.2528
23100	36.2232
23200	-37.0737
23300	123.5592
23400	25.8952
23500	-64.9790
23600	44.6800
23700	-124.2741
23800	144.4457
23900	-50.7655
24000	-80.3725
24100	-285.6142
24200	-350.5386
24300	-188.2846
24400	23.2788
24500	333.5468
24600	189.9944
24700	74.5309
24800	260.0670
24900	212.0805
25000	-133.2923
25100	-91.1732
25200	0.3767
25300	-38.7951
25400	82.1992
25500	408.1169
25600	138.5160
25700	38.6794
25800	-289.9820
25900	-158.9536
26000	-246.5247
26100	-404.5179
26200	-543.6138
26300	-323.8405
26400	-224.6932
26500	82.4651
26600	246.8821
26700	-297.7268
26800	-123.0463
26900	-208.1817
27000	11.3119
27100	144.4804
27200	-30.0400
27300	-112.9675
27400	-87.6980
27500	183.7067
27600	-47.0149
27700	358.3789
27800	148.6685
27900	-70.5267
28000	574.2791
28100	-107.1319
28200	-107.8895
28300	252.6761
28400	-8.6704
28500	-43.4572
28600	-207.1476
28700	-187.7133
28800	-120.1227
28900	102.3053
29000	-255.7192
29100	-31.3513
29200	-206.2963
29300	-224.6160
29400	-73.5237
29500	13.6511
29600	-113.7462
29700	-350.9507
29800	-96.1983
29900	-30.0864
30000	-30.9338
30100	-162.0640
30200	-82.8019
30300	-399.6931
30400	158.4390
30500	107.7185
30600	153.9704
30700	-139.7572
30800	119.0178
30900	-105.3914
31000	-319.3630
31100	-317.4076
31200	-285.2517
31300	136.9337
31400	-325.2384
31500	-378.9438
31600	-414.1209
31700	-235.0919
31800	-297.2912
31900	41.7789
32000	-469.5622
32100	-307.1246
32200	-303.4329
32300	-299.4539
32400	-292.5362
32500	-157.0868
32600	-408.4382
32700	-149.1179
32800	-328.9523
32900	-177.6522
33000	-383.8632
33100	-566.9249
33200	-560.3503
33300	-640.2539
33400	-218.2427
33500	21.8814
33600	-38.6638
33700	-233.9407
33800	-377.5999
33900	-370.2837
34000	-245.7700
34100	-73.0481
34200	218.5973
34300	84.0199
34400	305.5457
34500	109.0128
34600	-65.0460
34700	-138.5840
34800	69.6967
34900	-110.0636
35000	218.7798
35100	35.3481
35200	289.0811
35300	242.3690
35400	120.2976
35500	234.8056
35600	29.7055
35700	-73.6149
35800	-290.8850
35900	-178.3809
36000	-450.1912
36100	-333.2076
36200	-205.7429
36300	-8.3340
36400	214.2963
36500	309.6545
36600	-58.1731
36700	-501.0402
36800	-118.5825
36900	-388.4175
37000	229.9886
37100	-212.9555
37200	-203.6662
37300	-55.4173
37400	82.7545
37500	286.1195
37600	286.3013
37700	253.7700
37800	243.8267
37900	404.0247
38000	539.3353
38100	103.4400
38200	135.9013
38300	279.2748
38400	9.8555
38500	-212.7635
38600	-268.7002
38700	-189.3750
38800	-81.6500
38900	-86.2343
39000	-6.9182
39100	260.9662
39200	138.6773
39300	362.4362
39400	202.3696
39500	-194.0979
39600	324.8661
39700	44.9005
39800	216.4885
39900	168.1071
40000	210.9993
40100	34.0166
40200	-133.8032
40300	10.3076
40400	205.8653
40500	50.0107
40600	129.3681
40700	-119.5027
40800	382.1050
40900	85.4533
41000	-215.0446
41100	20.1951
41200	298.9737
41300	264.2062
41400	-116.1036
41500	-82.5003
41600	244.6508
41700	376.9527
41800	-33.8241
41900	191.1071
42000	199.1088
42100	156.4576
42200	243.5019
42300	-97.4505
42400	39.6520
42500	-130.6052
42600	67.6206
42700	459.2717
42800	388.2786
42900	-91.4109
43000	71.0652
43100	8.5407
43200	100.9024
43300	157.2148
43400	-16.0029
43500	-38.3605
43600	-187.6511
43700	87.2087
43800	9.6608
43900	-181.3117
44000	-21.6797
44100	59.3700
44200	-320.9399
44300	-135.2271
44400	302.2329
44500	81.0102
44600	-31.3901
44700	-403.2555
44800	-91.4318
44900	-141.6219
45000	66.8504
45100	-53.0980
45200	-152.1257
45300	-263.1763
45400	89.4401
45500	-187.4735
45600	-132.5875
45700	-147.2259
45800	-77.2608
45900	-143.1296
46000	-177.7268
46100	-560.8464
46200	-483.8313
46300	-66.8048
46400	-87.1497
46500	-54.5292
46600	-66.7910
46700	-115.9883
46800	-92.5079
46900	-103.5329
47000	-244.4007
47100	46.6424
47200	-112.5419
47300	-270.2837
47400	-190.2593
47500	-181.7399
47600	-313.3077
47700	-138.7686
47800	-63.2804
47900	-425.2280
48000	-168.5635
48100	-121.0803
48200	-165.4057
48300	-172.1527
48400	-73.8629
48500	-132.9434
48600	7.0644
48700	-183.0647
48800	87.1030
48900	88.5780
49000	5.4025
49100	78.1989
49200	280.3289
49300	-92.3917
49400	141.6068
49500	462.1311
49600	-164.7575
49700	13.6159
49800	-216.9877
49900	261.9475
50000	306.5316
50100	54.9942
50200	-21.6560
50300	229.0532
50400	-73.2007
50500	39.9098
50600	85.3416
50700	-176.1119
50800	-150.4342
50900	98.6902
51000	162.8978
51100	-149.0227
51200	53.3712
51300	-1.5430
51400	313.4686
51500	282.7076
51600	252.2228
51700	120.5668
51800	143.0625
51900	-34.0053
52000	-389.9490
52100	102.5583
52200	416.4781
52300	90.1942
52400	147.8155
52500	18.9944
52600	-205.6126
52700	-32.5443
52800	53.8922
52900	-216.9561
53000	101.9238
53100	-147.8542
53200	35.0152
53300	-218.7376
53400	-455.8322
53500	-486.2420
53600	-516.1971
53700	-231.7120
53800	-276.5310
53900	-211.7119
54000	-312.7723
54100	138.8623
54200	-324.6478
54300	-538.8251
54400	-528.2805
54500	-231.6184
54600	-261.3052
54700	226.2503
54800	372.4813
54900	299.7985
55000	136.8162
55100	-81.4199
55200	275.5643
55300	295.8135
55400	565.3329
55500	7.7472
55600	167.0693
55700	43.8191
55800	-19.7462
55900	-84.9068
56000	-16.4876
56100	-32.5206
56200	42.9740
56300	64.4305
56400	-243.3056
56500	-245.0616
56600	-332.7878
56700	-341.5784
56800	-274.1729
56900	-92.0106
57000	246.3626
57100	-443.8965
57200	-176.2635
57300	-414.4144
57400	-391.9055
57500	-78.8294
57600	-325.7087
57700	-105.3315
57800	-287.2601
57900	-132.7041
58000	-140.8296
58100	47.4492
58200	-208.0258
58300	164.6493
58400	72.3426
58500	-96.0847
58600	-196.5481
58700	1.7650
58800	-31.0230
58900	-27.8334
59000	-173.6414
59100	-258.6384
59200	11.1972
59300	-282.3330
59400	-1.4097
59500	-39.6027
59600	10.4704
59700	-124.7638
59800	-199.0833
59900	-247.1005
60000	-277.6371
60100	-91.4272
60200	-166.4297
60300	11.0826
60400	-409.8095
60500	178.4165
60600	416.5489
60700	158.5497
60800	216.8379
60900	-12.2306
61000	-679.9849
61100	63.4857
61200	-51.4995
61300	401.0558
61400	320.2894
61500	-381.7144
61600	-5.9437
61700	29.8712
61800	-35.2562
61900	-91.5605
62000	-12.6512
62100	-246.4666
62200	-91.3091
62300	-250.1692
62400	-422.2991
62500	51.7581
62600	-397.3533
62700	-323.4310
62800	-383.5764
62900	-349.3123
63000	230.6354
63100	-311.9957
63200	-398.0832
63300	-475.6648
63400	-165.5157
63500	-129.2143
63600	-165.3894
63700	117.2243
63800	-112.5690
63900	-134.2429
64000	-647.9789
64100	-250.7840
64200	-88.8023
64300	-173.9433
64400	317.5782
64500	152.0169
64600	-281.9070
64700	25.3860
64800	71.4400
64900	55.4336
65000	-55.7732
65100	-340.1315
65200	-180.3883
65300	39.0351
65400	-158.3883
65500	-162.4366
65600	-38.3514
65700	-370.9899
65800	-431.1048
65900	-134.6031
66000	-77.8168
66100	-278.2640
66200	-362.4105
66300	-459.3309
66400	-292.5675
66500	56.6916
66600	-209.9401
66700	-157.1629
66800	46.7443
66900	-352.3499
67000	41.4825
67100	-121.7507
67200	-130.2292
67300	27.1391
67400	42.4653
67500	56.3100
67600	-405.8903
67700	-358.9513
67800	255.5216
67900	-151.7267
68000	31.8116
68100	-396.2996
68200	-292.2236
68300	-269.8563
68400	-127.0094
68500	182.5084
68600	-123.6801
68700	343.8500
68800	276.9943
68900	-169.0269
69000	86.1405
69100	426.2931
69200	177.7182
69300	228.9214
69400	257.2104
69500	263.2137
69600	-156.7307
69700	-150.4560
69800	28.5982
69900	-172.1409
70000	74.8516
70100	390.6414
70200	124.1534
70300	-136.9961
70400	-195.3040
70500	-58.8523
70600	423.0353
70700	106.8373
70800	-262.9353
70900	-459.8767
71000	-64.1323
71100	-29.6563
71200	-28.4464
71300	-661.1070
71400	143.5665
71500	126.2719
71600	-65.6573
71700	-191.7607
71800	-228.6550
71900	-198.6229
72000	212.2220
72100	-215.3025
72200	-361.2185
72300	-135.6769
72400	-81.6826
72500	250.0685
72600	203.4306
72700	187.8162
72800	-31.2257
72900	-446.4956
73000	-470.2473
73100	240.4724
73200	119.2079
73300	-53.5715
73400	182.3023
73500	276.4477
73600	535.7622
73700	-164.2760
73800	156.9260
73900	-66.2445
74000	15.9609
74100	364.9117
74200	447.9541
74300	127.7437
74400	250.8935
74500	345.1213
74600	-63.2758
74700	-101.7493
74800	28.2690
74900	138.5428
75000	-133.8645
75100	-102.5618
75200	13.4036
75300	230.9434
75400	-88.6090
75500	120.4040
75600	305.6517
75700	-111.5660
75800	-50.3010
75900	-27.4809
76000	59.1627
76100	77.4757
76200	5.9242
76300	-98.9739
76400	152.0164
76500	11.1560
76600	-356.4838
76700	-189.0048
76800	61.4827
76900	-146.5117
77000	175.0697
77100	87.2677
77200	123.9957
77300	29.0081
77400	-49.7681
77500	-288.2639
77600	-308.0646
77700	-77.3327
77800	101.4565
77900	310.4001
78000	-166.9637
78100	139.9793
78200	53.1352
78300	281.7970
78400	352.5007
78500	290.6788
78600	-71.4367
78700	-276.3000
78800	198.7750
78900	139.7195
79000	-35.6881
79100	-91.5226
79200	27.2463
79300	-480.7670
79400	-93.9321
79500	-312.7114
79600	-133.6088
79700	81.2603
79800	-110.3942
79900	371.8297
80000	-42.3559
80100	-194.6432
80200	-350.9248
80300	-278.2717
80400	5.2857
80500	-165.9851
80600	-20.3056
80700	143.0517
80800	73.2025
80900	-92.0719
81000	148.6573
81100	-151.8033
81200	238.9436
81300	150.7675
81400	31.7421
81500	47.4589
81600	52.7049
81700	9.3799
81800	108.4603
81900	-34.8749
82000	-118.4509
82100	-204.8796
82200	505.3309
82300	527.0796
82400	129.5433
82500	439.4751
82600	593.4154
82700	211.3798
82800	102.6572
82900	405.6701
83000	160.5216
83100	356.6929
83200	-76.7758
83300	-100.5823
83400	-204.0694
83500	-241.7653
83600	-92.0080
83700	12.5217
83800	23.1648
83900	-241.3419
84000	-198.6103
84100	112.1441
84200	120.4484
84300	-109.9418
84400	254.1864
84500	-148.4280
84600	-204.7226
84700	233.7698
84800	236.4535
84900	270.3778
85000	152.7709
85100	88.3222
85200	109.0350
85300	329.4943
85400	-144.3166
85500	-4.8483
85600	-328.0032
85700	22.3781
85800	487.9157
85900	54.6623
86000	-373.6389
86100	-60.4662
86200	65.2849
86300	-125.0589
86400	5.6491
86500	358.4703
86600	-64.5513
86700	200.5539
86800	261.9243
86900	101.7193
87000	-186.9369
87100	-69.0552
87200	-266.5690
87300	-360.8001
87400	-256.2330
87500	-252.8539
87600	-224.1320
87700	-141.3284
87800	87.3581
87900	-11.9368
88000	148.3954
88100	394.6001
88200	417.2658
88300	621.7229
88400	513.9240
88500	270.7898
88600	243.1406
88700	23.0918
88800	126.7009
88900	219.0293
89000	25.6914
89100	9.5211
89200	-83.4620
89300	-109.9593
89400	64.4247
89500	56.2273
89600	8.5087
89700	-121.0950
89800	18.2737
89900	172.8428
90000	459.0108
90100	-24.2616
90200	-120.9293
90300	114.9112
90400	-243.6921
90500	-371.8625
90600	98.2529
90700	84.4584
90800	-44.3507
90900	50.9153
91000	-49.2638
91100	-113.8789
91200	-101.3799
91300	-194.8763
91400	-253.5791
91500	2.2461
91600	62.1631
91700	119.9084
91800	-131.9732
91900	53.8701
92000	-207.0697
92100	97.9600
92200	-182.7289
92300	-116.4393
92400	210.4022
92500	231.9434
92600	-7.9177
92700	150.2262
92800	-21.5559
92900	86.7033
93000	-40.6727
93100	-64.4163
93200	-88.6340
93300	225.6221
93400	-46.1052
93500	143.2870
93600	375.5837
93700	173.1441
93800	347.6532
93900	-54.5570
94000	-115.4173
94100	-152.3016
94200	-405.8274
94300	-153.0006
94400	169.6235
94500	187.5528
94600	34.6711
94700	-94.2346
94800	70.4059
94900	137.0662
95000	-354.7602
95100	-302.7397
95200	-263.0448
95300	57.1804
95400	-163.3230
95500	79.5463
95600	82.3178
95700	-142.8823
95800	-216.4164
95900	-239.7713
96000	-206.1345
96100	-6.4265
96200	-211.4991
96300	-462.7110
96400	-158.5866
96500	22.3698
96600	-299.4268
96700	-327.1807
96800	-150.7830
96900	-27.6700
97000	410.2047
97100	327.0303
97200	328.4357
97300	-52.3520
97400	-66.1139
97500	-96.1100
97600	-281.4475
97700	167.6157
97800	-40.1552
97900	-385.8773
98000	110.3571
98100	70.0552
98200	-91.7353
98300	-223.0489
98400	-282.9632
98500	-293.8548
98600	-252.1152
98700	200.3978
98800	-328.1043
98900	-210.8828
99000	227.0378
99100	161.7398
99200	124.7982
99300	-61.3266
99400	-251.6345
99500	-153.8457
99600	19.5419
99700	-244.8538
99800	-239.5541
99900	78.5037
100000	175.5232
100000	-51.7776
