Step	Energy
0	1885.1396
100	1956.2502
200	1987.7914
300	2014.8816
400	2043.7664
500	2037.6297
600	2056.8425
700	2056.1506
800	2041.7890
900	2060.2139
1000	2068.9623
1100	2085.0210
1200	2086.8606
1300	2075.8463
1400	2057.8053
1500	2063.3918
1600	2047.0410
1700	2046.0994
1800	2042.2596
1900	2024.9321
2000	2005.7190
2100	1998.0183
2200	1992.1179
2300	1963.8467
2400	1950.2382
2500	1939.0923
2600	1928.9685
2700	1911.2217
2800	1913.7107
2900	1915.7873
3000	1904.5931
3100	1898.0744
3200	1880.8743
3300	1859.5681
3400	1852.4463
3500	1847.2803
3600	1831.1129
3700	1838.9549
3800	1819.0895
3900	1802.0813
4000	1785.8905
4100	1762.8182
4200	1747.8661
4300	1742.0736
4400	1742.4240
4500	1735.5166
4600	1704.8935
4700	1695.8572
4800	1674.5001
4900	1672.4273
5000	1651.5371
5100	1634.7259
5200	1627.8416
5300	1605.9457
5400	1611.7770
5500	1605.4228
5600	1587.7185
5700	1557.5757
5800	1542.3046
5900	1524.2265
6000	1507.4733
6100	1482.0948
6200	1484.2344
6300	1474.3981
6400	1468.1233
6500	1458.4142
6600	1451.4506
6700	1435.1895
6800	1442.7556
6900	1428.2115
7000	1422.6346
7100	1420.2944
7200	1406.6540
7300	1410.0404
7400	1397.4867
7500	1397.9275
7600	1399.4772
7700	1407.5332
7800	1404.1906
7900	1389.8762
8000	1376.0054
8100	1380.8114
8200	1378.7967
8300	1405.5608
8400	1409.3599
8500	1392.0103
8600	1420.8024
8700	1413.9917
8800	1416.3469
8900	1422.5827
9000	1403.3568
9100	1388.0419
9200	1367.9479
9300	1341.1896
9400	1354.5852
9500	1369.5108
9600	1354.6440
9700	1349.5440
9800	1346.4330
9900	1334.2609
10000	1328.5402
10100	1308.1881
10200	1299.9580
10300	1298.6953
10400	1292.2398
10500	1292.0095
10600	1289.5159
10700	1289.0027
10800	1276.6977
10900	1267.6825
11000	1283.4473
11100	1264.9163
11200	1262.5860
11300	1239.3095
11400	1234.2146
11500	1225.7641
11600	1225.2557
11700	1248.8294
11800	1251.7554
11900	1240.3849
12000	1232.9327
12100	1234.7226
12200	1237.5019
12300	1237.3716
12400	1244.8830
12500	1245.9474
12600	1255.4312
12700	1276.1519
12800	1260.1551
12900	1260.7725
13000	1246.9596
13100	1248.4363
13200	1257.1388
13300	1242.3665
13400	1229.2915
13500	1214.4947
13600	1200.2634
13700	1189.9884
13800	1192.1887
13900	1185.5534
14000	1197.6145
14100	1198.2335
14200	1195.1702
14300	1190.7463
14400	1180.7911
14500	1169.6958
14600	1166.6709
14700	1163.9503
14800	1175.6913
14900	1187.1875
15000	1188.2910
15100	1214.5714
15200	1218.4003
15300	1219.5176
15400	1222.3220
15500	1198.3021
15600	1203.8460
15700	1225.6394
15800	1211.2937
15900	1211.9057
16000	1207.5142
16100	1210.4799
16200	1194.2433
16300	1176.6653
16400	1187.8324
16500	1187.7513
16600	1185.0113
16700	1184.9849
16800	1187.5030
16900	1203.9105
17000	1185.9569
17100	1190.4316
17200	1171.4424
17300	1169.0905
17400	1176.7533
17500	1173.5501
17600	1165.5823
17700	1161.4921
17800	1157.1812
17900	1170.3345
18000	1146.4216
18100	1143.6005
18200	1128.0240
18300	1115.8898
18400	1126.2405
18500	1144.6335
18600	1154.2695
18700	1160.1641
18800	1158.7456
18900	1157.1534
19000	1164.0104
19100	1166.4551
19200	1172.4969
19300	1163.8738
19400	1169.7870
19500	1156.0341
19600	1164.7296
19700	1161.9435
19800	1165.5203
19900	1176.6943
20000	1195.2681
20100	1176.8679
20200	1159.1333
20300	1157.2959
20400	1134.3434
20500	1128.8929
20600	1123.9493
20700	1127.5664
20800	1110.9834
20900	1098.5300
21000	1083.0504
21100	1085.3622
21200	1078.4018
21300	1084.7909
21400	1090.4122
21500	1089.4667
21600	1088.2865
21700	1067.2927
21800	1084.4982
21900	1092.2314
22000	1075.2742
22100	1079.4093
22200	1088.4069
22300	1101.8569
22400	1105.7858
22500	1113.0935
22600	1118.3263
22700	1105.0368
22800	1099.9736
22900	1124.4267
23000	1117.3617
23100	1134.6964
23200	1120.1711
23300	1127.7983
23400	1124.0805
23500	1120.6230
23600	1122.9732
23700	1113.5793
23800	1100.8906
23900	1098.1384
24000	1093.5581
24100	1105.2144
24200	1111.4438
24300	1107.1798
24400	1099.9746
24500	1106.6840
24600	1109.0434
24700	1101.9577
24800	1109.7869
24900	1087.6030
25000	1085.4944
25100	1102.3643
25200	1108.5592
25300	1110.3449
25400	1112.5641
25500	1110.2715
25600	1086.9640
25700	1101.9329
25800	1112.2809
25900	1122.2842
26000	1118.9918
26100	1123.2123
26200	1116.1592
26300	1110.0223
26400	1099.0397
