Step	Energy
100	-27335.7226
200	-27344.4410
300	-27420.4379
400	-27370.4671
500	-27320.8220
600	-27279.1522
700	-27309.0637
800	-27372.7873
900	-27542.8854
1000	-27560.0806
1100	-27548.8560
1200	-27617.6795
1300	-27628.4256
1400	-27687.4713
1500	-27646.6827
1600	-27665.2488
1700	-27691.9377
1800	-27757.7629
1900	-27709.8228
2000	-27739.8864
2100	-27727.1409
2200	-27788.3907
2300	-27830.2612
2400	-27848.6963
2500	-27835.9496
2600	-27866.4726
2700	-27889.9197
2800	-27935.6558
2900	-27940.8667
3000	-27932.3560
3100	-27846.0551
3200	-27808.0479
3300	-27958.9063
3400	-27997.5224
3500	-28040.6472
3600	-28058.7659
3700	-28039.1148
3800	-28070.2285
3900	-28040.8308
4000	-27959.5450
4100	-28056.3043
4200	-28056.8584
4300	-28066.1254
4400	-28064.2116
4500	-28065.0984
4600	-28140.3616
4700	-28124.2146
4800	-28094.9959
4900	-28165.7097
5000	-28163.2315
5100	-28131.9241
5200	-28108.8245
5300	-28188.9701
5400	-28149.2525
5500	-28124.6256
5600	-28081.6417
5700	-28046.7925
5800	-28148.4031
5900	-28103.9849
6000	-28209.7998
6100	-28257.2557
6200	-28174.0393
6300	-28153.3044
6400	-28073.4996
6500	-28089.9446
6600	-28116.9560
6700	-28197.8085
6800	-28232.0573
6900	-28268.2542
7000	-28235.4490
7100	-28333.9660
7200	-28353.8301
7300	-28351.1696
7400	-28385.0580
7500	-28387.9231
7600	-28432.7215
7700	-28437.3054
7800	-28462.3760
7900	-28357.0918
8000	-28264.4136
8100	-28260.0503
8200	-28150.4948
8300	-28094.8297
8400	-28051.5459
8500	-28109.0990
8600	-28163.8311
8700	-28147.0850
8800	-28127.2631
8900	-28092.2889
9000	-28132.1741
9100	-28207.3288
9200	-28210.7867
9300	-28253.6606
9400	-28273.1343
9500	-28275.5690
9600	-28294.5341
9700	-28279.9696
9800	-28349.9244
9900	-28263.4825
10000	-28328.1664
10100	-28386.9468
10200	-28378.5410
10300	-28502.6499
10400	-28408.6820
10500	-28424.2574
10600	-28386.3284
10700	-28344.2465
10800	-28352.6884
10900	-28445.5448
11000	-28419.0773
11100	-28436.8349
11200	-28405.8016
11300	-28420.9764
11400	-28472.9070
11500	-28489.4707
11600	-28433.9939
11700	-28360.2783
11800	-28393.8419
11900	-28421.5861
12000	-28374.3074
12100	-28288.9668
12200	-28378.3560
12300	-28334.9345
12400	-28302.6665
12500	-28317.0792
12600	-28317.3059
12700	-28350.4619
12800	-28248.5046
12900	-28298.1251
13000	-28362.6920
13100	-28459.9951
13200	-28479.4903
13300	-28480.2503
13400	-28428.6931
13500	-28376.3817
13600	-28461.2630
13700	-28464.7064
13800	-28575.1046
13900	-28454.9950
14000	-28425.6895
14100	-28433.4796
14200	-28413.3342
14300	-28385.3754
14400	-28371.2250
14500	-28375.8241
14600	-28400.6223
14700	-28380.5134
14800	-28331.1769
14900	-28305.5597
15000	-28277.1699
15100	-28358.7547
15200	-28422.3547
15300	-28394.3299
15400	-28364.8878
15500	-28321.6371
15600	-28391.9934
15700	-28416.9930
15800	-28364.4193
15900	-28359.6296
16000	-28389.3671
16100	-28399.6577
16200	-28403.8386
16300	-28312.8722
16400	-28370.2921
16500	-28404.3271
16600	-28384.6142
16700	-28298.3000
16800	-28302.9047
16900	-28312.1542
17000	-28327.4043
17100	-28392.0675
17200	-28308.8019
17300	-28371.3507
17400	-28377.4642
17500	-28327.4568
17600	-28377.6937
17700	-28364.6162
17800	-28315.7657
17900	-28365.9316
18000	-28351.7106
18100	-28347.3220
18200	-28330.5302
18300	-28321.7524
18400	-28391.1210
18500	-28383.1407
18600	-28402.5605
18700	-28349.2753
18800	-28327.6011
18900	-28380.3151
19000	-28290.7114
19100	-28373.6548
19200	-28402.6802
19300	-28380.2019
19400	-28414.6797
19500	-28465.7762
19600	-28331.8920
19700	-28356.3993
19800	-28341.8882
19900	-28388.7975
20000	-28402.5125
20100	-28393.1203
20200	-28406.1008
20300	-28506.5105
20400	-28526.2569
20500	-28468.9013
20600	-28551.2304
20700	-28512.3155
20800	-28542.7850
20900	-28583.8066
21000	-28455.1674
21100	-28481.0550
21200	-28463.7520
21300	-28329.0345
21400	-28232.2919
21500	-28160.0848
21600	-28225.4659
21700	-28137.9624
21800	-28205.5460
21900	-28278.7476
22000	-28303.8885
22100	-28307.8832
22200	-28360.8709
22300	-28357.2074
22400	-28406.4629
22500	-28388.8398
22600	-28348.4503
22700	-28338.4215
22800	-28304.8501
22900	-28348.9697
23000	-28393.0317
23100	-28341.2413
23200	-28332.2046
23300	-28321.9476
23400	-28333.4005
23500	-28378.6147
23600	-28484.0258
23700	-28536.2857
23800	-28518.1208
23900	-28529.8095
24000	-28520.0275
24100	-28527.7609
24200	-28579.4097
24300	-28536.1732
24400	-28500.2951
24500	-28533.2771
24600	-28509.3863
24700	-28535.6166
24800	-28424.4092
24900	-28447.2208
25000	-28378.7216
25100	-28414.9249
25200	-28496.8394
25300	-28435.5846
25400	-28378.1393
25500	-28427.6697
25600	-28449.8108
25700	-28437.6121
25800	-28364.4644
25900	-28404.0292
26000	-28364.9339
26100	-28297.5572
26200	-28315.3893
26300	-28263.5781
26400	-28313.5446
26500	-28267.3977
26600	-28296.1115
26700	-28338.4645
26800	-28385.9073
26900	-28406.7964
27000	-28360.9824
27100	-28411.3845
27200	-28412.1253
27300	-28431.6187
27400	-28499.2075
27500	-28433.4163
27600	-28410.5295
27700	-28429.7853
27800	-28451.9987
27900	-28461.0913
28000	-28551.4617
28100	-28558.9143
28200	-28484.5503
28300	-28398.9576
28400	-28395.6351
28500	-28454.6603
28600	-28428.9708
28700	-28419.3800
28800	-28425.9205
28900	-28369.7577
29000	-28261.1761
29100	-28248.3698
29200	-28355.7889
29300	-28415.7556
29400	-28415.6658
29500	-28425.1141
29600	-28415.2078
29700	-28384.4983
29800	-28288.7807
29900	-28251.4296
30000	-28227.3491
30100	-28314.0570
30200	-28391.7689
30300	-28434.7705
30400	-28381.0038
30500	-28334.0576
30600	-28325.3614
30700	-28282.7010
30800	-28247.1522
30900	-28290.0378
31000	-28261.6868
31100	-28179.8017
31200	-28299.1300
31300	-28350.2093
31400	-28357.0352
31500	-28309.3247
31600	-28324.2291
31700	-28332.2616
31800	-28352.8870
31900	-28327.9949
32000	-28339.6469
32100	-28347.5795
32200	-28392.5818
32300	-28424.0069
32400	-28383.7764
32500	-28380.5810
32600	-28418.9858
32700	-28460.0291
32800	-28407.4921
32900	-28422.7954
33000	-28442.5414
33100	-28544.6469
33200	-28438.9538
33300	-28461.5167
33400	-28522.1242
33500	-28545.4805
33600	-28513.6076
33700	-28406.6382
33800	-28459.2122
33900	-28513.6664
34000	-28424.8202
34100	-28319.9945
34200	-28352.6743
34300	-28347.3982
34400	-28369.4993
34500	-28451.2464
34600	-28394.0050
34700	-28365.4985
34800	-28294.6015
34900	-28312.9965
35000	-28290.9514
35100	-28251.9110
35200	-28289.8753
35300	-28253.3666
35400	-28281.9478
35500	-28289.6787
35600	-28289.4694
35700	-28310.2124
35800	-28370.2794
35900	-28427.4792
36000	-28375.6806
36100	-28393.5034
36200	-28307.7938
36300	-28258.1396
36400	-28321.2819
36500	-28390.7649
36600	-28446.1448
36700	-28434.0475
36800	-28362.8696
36900	-28423.0057
37000	-28344.7680
37100	-28311.4997
37200	-28312.6746
37300	-28370.3961
37400	-28256.3047
37500	-28250.1093
37600	-28232.5122
37700	-28207.2083
37800	-28265.8723
37900	-28362.1977
38000	-28390.6598
38100	-28387.8108
38200	-28429.3793
38300	-28421.1576
38400	-28367.8065
38500	-28353.1731
38600	-28330.7701
38700	-28410.2839
38800	-28405.8691
38900	-28375.0739
39000	-28410.8870
39100	-28448.7920
39200	-28398.8748
39300	-28314.6557
39400	-28315.6977
39500	-28312.1236
39600	-28263.6790
39700	-28302.5307
39800	-28360.3521
39900	-28346.1249
40000	-28338.3018
40100	-28411.5963
40200	-28493.6798
40300	-28462.3363
40400	-28531.8647
40500	-28617.3487
40600	-28584.8788
40700	-28612.3803
40800	-28611.2465
40900	-28577.9972
41000	-28485.0438
41100	-28415.2214
41200	-28430.3565
41300	-28456.8631
41400	-28435.3626
41500	-28388.2562
41600	-28446.5898
41700	-28450.5419
41800	-28508.1086
41900	-28524.1832
42000	-28460.6514
42100	-28391.3394
42200	-28492.9093
42300	-28504.5326
42400	-28468.8128
42500	-28464.3082
42600	-28437.3502
42700	-28383.8881
42800	-28405.4447
42900	-28454.6813
43000	-28515.6028
43100	-28451.8435
43200	-28426.5395
43300	-28395.6131
43400	-28474.7272
43500	-28475.3738
43600	-28472.7644
43700	-28534.9600
43800	-28529.0508
43900	-28537.4228
44000	-28536.6150
44100	-28606.9759
44200	-28533.4409
44300	-28525.2958
44400	-28446.8207
44500	-28451.9728
44600	-28418.5529
44700	-28390.2500
44800	-28431.8443
44900	-28370.2883
45000	-28404.1747
45100	-28463.3880
45200	-28457.8897
45300	-28503.4834
45400	-28541.2039
45500	-28561.4209
45600	-28542.4178
45700	-28569.8022
45800	-28542.4156
45900	-28486.4982
46000	-28587.6445
46100	-28592.1852
46200	-28582.7710
46300	-28520.6198
46400	-28550.1428
46500	-28516.8673
46600	-28474.9531
46700	-28489.8487
46800	-28422.3959
46900	-28480.6060
47000	-28539.6028
47100	-28567.4319
47200	-28575.4042
47300	-28642.6195
47400	-28567.7711
47500	-28567.7354
47600	-28471.5335
47700	-28445.1689
47800	-28486.8144
47900	-28438.3625
48000	-28506.3863
48100	-28410.7741
48200	-28392.2199
48300	-28371.9957
48400	-28373.0367
48500	-28445.1102
48600	-28412.1663
48700	-28441.1007
48800	-28344.5077
48900	-28314.7990
49000	-28334.2011
49100	-28253.7208
49200	-28278.5052
49300	-28305.9086
49400	-28234.2599
49500	-28256.3481
49600	-28217.7569
49700	-28243.9317
49800	-28254.1396
49900	-28295.7081
50000	-28215.0244
50000	-28320.2048
